time,loops,sizehash,timeinselect
0,1,0,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,1,1,0
0,2,2,0
0.000997066,2,3,0
0.00199461,2,4,0
0.000997782,2,5,0
0,2,6,0
0.000996828,2,7,0
0.000997066,2,8,0
0,2,9,0
0.000997305,2,10,0
0.000997305,2,11,0
0,2,12,0
0.001994848,2,13,0
0.001000643,2,14,0
0.000997066,2,15,0
0,2,16,0
0.000996828,2,17,0
0.00099802,2,18,0
0.000996828,2,19,0
0.000997066,2,20,0
0.000997305,2,21,0
0,2,22,0
0,2,23,0
0.00099802,2,24,0
0.000997066,2,25,0
0.000997543,2,26,0
0.000985384,2,27,0
0.000997305,2,28,0
0.000997066,2,29,0
0.00099659,2,30,0
0.000997066,2,31,0
0.000997066,2,32,0
0.00099659,2,33,0
0.00099802,2,34,0
0.000997543,2,35,0
0.000997305,2,36,0
0.00099659,2,37,0.00099659
0.000997305,2,37,0
0.000997066,2,37,0
0.000997305,2,37,0
0,2,37,0
0.000997305,2,37,0
0,2,37,0
0.000997305,2,37,0
0.000997305,2,37,0
0,2,37,0
0.000997782,2,37,0
0.000997066,2,37,0
0.000997782,2,37,0
0,2,37,0
0.000997782,2,37,0
0.000997066,2,37,0
0,2,37,0
0.000997305,2,37,0
0.000997066,2,37,0
0.000996351,2,37,0
0.000997066,2,37,0
0.000996828,2,37,0
0,2,37,0
0.000996828,2,37,0
0.000997305,2,37,0
0,2,37,0
0.000997543,2,37,0
0,2,37,0
0.000997066,2,37,0
0,2,37,0
0.000997782,2,37,0
0.000997543,2,37,0
0.000997543,2,37,0
0,2,37,0
0,2,37,0
0.000997066,2,37,0
0.000997066,2,37,0
0.000997305,2,37,0
0.000997543,2,37,0
0.000996828,2,37,0
0.000997305,2,37,0
0.000997543,2,37,0
0.000997305,2,37,0
0.000997782,3,38,0
0.000996828,2,38,0
0.000997305,3,39,0
0.000996828,3,40,0
0.000997066,2,40,0
0.000997305,2,40,0
0.000996828,2,40,0
0.000997543,2,40,0
0.000997305,2,40,0
0.000997543,2,40,0
0.000997305,2,40,0
0.000997066,2,40,0
0.000997305,2,40,0
0.000997066,2,40,0
0.00099802,2,40,0
0.000998497,2,40,0
0,2,40,0
0,2,40,0
0,2,40,0
0.000998259,2,40,0
0.000997782,2,40,0
0.000997305,2,40,0
0.000997305,2,40,0
0.00099802,2,40,0
0.000997305,2,40,0
0,2,40,0
0.000997305,2,40,0
0.000997305,2,40,0
0.000997066,2,40,0
0,2,40,0
0,2,40,0
0.000997305,2,40,0
0.000996828,2,40,0
0.000997305,2,40,0.000997305
0.00199461,2,40,0
0,2,40,0
0.000996828,2,40,0
0.000997543,2,40,0
0.000996351,3,41,0
0.00099802,2,41,0
0.000998259,2,41,0
0.000997305,3,42,0
0,3,42,0
0.000997782,3,42,0
0.000997066,3,43,0
0.000997066,3,44,0
0.000997066,3,44,0
0.000997066,2,44,0
0.000997066,2,44,0
0.000997543,2,44,0
0.000997543,2,44,0
0.00099802,2,44,0
0,2,44,0
0.000997543,3,45,0
0.00099802,3,46,0
0,2,46,0
0,2,46,0
0.000997305,2,46,0
0.000997305,2,46,0
0.001994848,3,47,0
0.000997543,2,47,0
0.00099659,2,47,0
0.00099802,2,47,0
0.000997543,3,48,0
0,2,48,0
0.000997543,2,48,0
0.000996828,3,49,0.000996828
0.000997305,2,49,0
0.000997305,2,49,0
0.000997543,2,49,0
0.000997543,2,49,0
0.000997305,3,50,0
0.000997543,2,50,0
0.000998497,3,51,0
0.000997782,3,52,0
0.000997305,3,53,0
0.000997543,3,54,0
0.000997782,3,55,0
0.000996828,3,56,0
0.000997305,3,57,0
0,3,58,0
0.000996828,3,59,0
0.00199461,3,60,0
0.000997066,3,61,0
0,3,62,0
0.000997543,3,63,0
0.000997543,3,64,0
0.000997543,3,65,0
0.00099659,3,66,0
0.000997543,3,67,0
0.000997066,3,68,0
0.00199461,3,69,0
0.000997305,3,70,0
0.001994848,3,71,0
0.000996828,3,72,0
0.000997305,3,73,0
0,3,74,0
0.000997305,3,75,0
0.000997305,3,76,0
0.000997543,3,77,0
0.000997305,3,78,0
0.001994371,3,79,0
0.000997066,3,80,0
0.000997066,3,81,0
0,3,82,0
0.000997543,3,83,0
0.000997305,3,84,0
0.000997305,3,85,0
0.000997305,3,86,0
0.000997305,3,87,0
0.001994371,3,88,0
0.000997305,3,89,0
0.000998735,3,90,0
0.00099659,3,91,0
0.001994133,3,92,0
0,3,92,0
0.000997305,3,93,0
0.000996828,3,94,0
0.000996828,3,95,0
0.000997066,3,95,0
0.000997305,3,96,0
0.000997066,3,96,0
0.000997543,3,97,0
0.000997305,3,98,0
0.000997305,3,99,0
0.000997066,3,100,0
0.00099802,3,101,0.00099802
0.000997066,3,102,0
0.000997305,3,103,0
0.000996828,3,104,0
0.000997782,3,105,0
0,3,106,0
0.000997305,3,107,0
0.000998259,3,108,0
0.000997066,3,109,0
0.00099802,3,110,0
0,3,111,0
0.000997066,3,112,0
0.00099802,3,113,0
0.000996828,3,114,0
0.000997066,3,115,0
0,3,116,0
0.000997305,3,117,0
0,3,118,0
0.00099802,3,119,0
0.000997543,3,120,0
0.000997305,3,121,0
0,3,122,0
0,3,123,0
0,3,124,0
0.000997782,3,125,0
0.000997066,3,126,0
0.000997305,3,126,0
0.000997066,3,126,0
0.001995087,3,126,0
0,3,127,0
0.000997305,3,127,0
0,3,127,0
0.000996828,3,127,0
0,3,127,0
0.000997305,3,128,0
0.000997543,3,129,0
0.001994371,3,129,0
0.000997305,3,129,0
0,3,129,0
0.00199461,3,129,0
0.000997305,3,129,0
0.001994371,3,130,0
0,3,131,0
0,3,132,0
0.000997782,3,132,0
0.00199461,3,133,0
0.000997305,3,134,0
0.000997066,3,134,0
0.000997066,3,134,0
0.000997782,3,134,0
0,3,135,0
0.000996828,3,136,0
0.000997305,3,137,0
0,3,138,0
0.000997305,3,139,0
0.000997782,3,139,0
0,3,139,0
0.000997543,3,140,0
0.000997543,3,141,0
0.000997543,3,142,0
0.000997066,3,143,0
0.00099802,3,143,0
0.000997066,3,144,0
0.000997782,3,145,0
0.000997543,3,145,0
0.000997782,3,146,0
0.000997066,3,147,0
0.001994848,3,148,0.000997305
0.000997543,3,149,0
0.000996828,3,150,0
0.000997782,3,150,0
0.000996828,3,151,0
0.000997543,3,151,0
0.000997066,3,152,0
0.00199604,3,152,0
0.001993418,3,152,0
0.000997066,3,152,0
0.000997305,3,152,0
0.000997543,3,153,0
0.00099659,3,154,0.00099659
0.000997543,3,154,0
0,3,154,0
0.000997305,3,154,0
0.000997543,3,154,0
0.000996828,3,154,0
0.000997305,3,154,0
0.000996828,3,154,0
0.000997782,3,154,0
0.000997543,3,155,0
0.000997305,3,156,0
0,3,156,0
0.000997543,3,157,0
0.000997543,3,158,0
0.000997066,3,158,0
0.00099802,3,158,0
0.000996828,3,159,0
0.00099659,3,159,0
0.000996828,3,159,0
0.000997782,3,159,0
0.000997066,3,159,0
0.000997305,3,160,0
0.000997305,3,161,0
0.000997305,3,162,0
0.000997305,3,163,0
0.001994371,3,163,0
0.000997305,3,164,0
0.000997543,3,165,0
0.00099659,3,165,0
0.000997543,3,166,0
0.000997066,3,167,0
0.000997782,3,168,0
0.000996828,3,169,0
0.000997305,3,170,0
0.000997305,3,170,0
0.000996828,3,170,0
0.000997066,3,171,0
0.000997066,3,171,0
0.001994848,3,171,0
0.00099802,3,171,0
0,3,171,0
0.000997066,3,171,0
0.000997305,3,171,0
0.000997305,3,171,0
0.000997543,3,171,0
0.000997305,3,171,0
0.000997305,3,171,0
0.000997066,3,171,0
0.00099802,3,171,0
0.000997305,3,171,0
0.000997543,3,171,0
0.000997305,3,171,0
0.000997543,3,171,0
0.000997543,3,171,0
